Timestamp, Tag, Source, Message
20190801T153910.871, TRACE, Untitled 3, "Iteration begins"
20190801T153910.871, DEBUG, Untitled 3, "Iteration: 97"
20190801T153910.871, WARN, Untitled 3, "Odd numbered iteration occurred"
20190801T153910.871, TRACE, Untitled 3, "Iteration ends"
20190801T153911.121, TRACE, Untitled 3, "Iteration begins"
20190801T153911.121, DEBUG, Untitled 3, "Iteration: 98"
20190801T153911.121, INFO, Untitled 3, "Even numbered iteration occurred"
20190801T153911.121, TRACE, Untitled 3, "Iteration ends"
20190801T153911.371, TRACE, Untitled 3, "Iteration begins"
20190801T153911.371, DEBUG, Untitled 3, "Iteration: 99"
20190801T153911.371, WARN, Untitled 3, "Odd numbered iteration occurred"
20190801T153911.371, TRACE, Untitled 3, "Iteration ends"
20190801T153911.621, TRACE, Untitled 3, "Iteration begins"
20190801T153911.621, DEBUG, Untitled 3, "Iteration: 100"
20190801T153911.621, INFO, Untitled 3, "Even numbered iteration occurred"
20190801T153911.621, TRACE, Untitled 3, "Iteration ends"
20190801T153911.871, TRACE, Untitled 3, "Iteration begins"
20190801T153911.871, DEBUG, Untitled 3, "Iteration: 101"
20190801T153911.871, WARN, Untitled 3, "Odd numbered iteration occurred"
20190801T153911.871, TRACE, Untitled 3, "Iteration ends"
20190801T153912.121, TRACE, Untitled 3, "Iteration begins"
20190801T153912.121, DEBUG, Untitled 3, "Iteration: 102"
20190801T153912.121, INFO, Untitled 3, "Even numbered iteration occurred"
20190801T153912.121, TRACE, Untitled 3, "Iteration ends"
20190801T153912.371, TRACE, Untitled 3, "Iteration begins"
20190801T153912.371, DEBUG, Untitled 3, "Iteration: 103"
20190801T153912.371, WARN, Untitled 3, "Odd numbered iteration occurred"
20190801T153912.371, TRACE, Untitled 3, "Iteration ends"
20190801T153912.621, TRACE, Untitled 3, "Iteration begins"
20190801T153912.621, DEBUG, Untitled 3, "Iteration: 104"
20190801T153912.621, INFO, Untitled 3, "Even numbered iteration occurred"
20190801T153912.621, TRACE, Untitled 3, "Iteration ends"
